category,pfas_type,site,measure,water_sediment,water_seston,water_biofilm,water_detritus,bsaf,biofilm_mayfly,seston_caddis,detritus_stone,mtf,ttf
PFCAs,PFDA,Burr Pond Brook,Median(95%CrI),1719.6 (2.9 to 2662980.6),5020.4 (25.5 to 4246866.9),40951.6 (1231.5 to 17407089.5),4691.6 (18.1 to 5493867.7),59.2 (0.5 to 20196.3),NA,0.7 (0 to 30.5),432.4 (5.2 to 43309.8),5 (0.8 to 28),1.2 (0.3 to 5.5)
PFCAs,PFDA,Hop Brook,Median(95%CrI),210.3 (0.3 to 324858.3),77.2 (0.1 to 101611.8),332.2 (7.6 to 142528.4),28.6 (0 to 38166.4),4.8 (0 to 1796.2),2.1 (0 to 538.1),7.4 (0 to 5756.5),346 (1.1 to 246083.4),1.5 (0.1 to 36.9),3.3 (0.2 to 99.7)
PFCAs,PFDA,Pequabuck River,Median(95%CrI),296.3 (0.4 to 377929.5),2693.9 (14.9 to 2166887.4),1845.9 (60.3 to 752978.9),258.1 (0.8 to 362892.2),12.2 (0.1 to 4018.1),2.2 (0 to 492.8),0.5 (0 to 22.4),NA,0.5 (0 to 11.4),28.8 (4 to 657.8)
PFCAs,PFDA,Ratlum Brook,Median(95%CrI),3620.1 (5.7 to 7797629.5),19704.8 (94.4 to 20207812.2),11139.2 (290.3 to 5495690.5),2296.1 (6 to 2867466.3),3.8 (0 to 1403.6),0.8 (0 to 182.2),0.3 (0 to 20.3),157.4 (0.5 to 43578.3),1.4 (0.1 to 33.5),56 (6.2 to 608.9)
PFCAs,PFDA,Russell Brook,Median(95%CrI),6.4 (0 to 9791.1),530.3 (2.8 to 354282.1),1789.4 (67.5 to 664211.9),243.3 (1.2 to 229001.7),1052.1 (7.6 to 406383.2),NA,41.2 (0.8 to 2306.7),NA,1.9 (0.2 to 17.1),0.6 (0.1 to 4.6)
PFCAs,PFDoA,Burr Pond Brook,Median(95%CrI),183.1 (0.5 to 21715.1),308.2 (3.3 to 15510.4),2520.5 (303.9 to 25422.9),282.9 (1.4 to 14391.9),15.9 (0.1 to 5686.5),NA,0.6 (0 to 46.6),596.5 (12.7 to 95475.1),6.9 (0.4 to 116.1),2.9 (0.5 to 42.1)
PFCAs,PFDoA,Hop Brook,Median(95%CrI),22.3 (0.1 to 2806.5),4.5 (0 to 676.3),19.1 (1.4 to 241.7),1.5 (0 to 145.9),2.1 (0 to 752.6),3.8 (0 to 376),7 (0 to 2488.9),449.4 (1.2 to 1551387.4),1.5 (0 to 35.2),7 (0.3 to 269.1)
PFCAs,PFDoA,Pequabuck River,Median(95%CrI),30.4 (0.1 to 3688.4),171.3 (2.7 to 7413.7),118.9 (14.5 to 1177.5),15.2 (0.1 to 892.2),4.9 (0 to 1942.4),3.7 (0 to 391.4),0.4 (0 to 31.8),NA,0.4 (0 to 11.6),69.1 (6.8 to 1805.8)
PFCAs,PFDoA,Ratlum Brook,Median(95%CrI),362 (1.1 to 45822.2),1213.8 (15.9 to 68197.2),637.9 (61.7 to 8244.5),126.1 (0.5 to 9524.9),1.6 (0 to 603.8),1.1 (0 to 144.7),0.2 (0 to 21.3),163.2 (0.8 to 70406.1),1.7 (0.1 to 36.8),101.5 (10.3 to 1652)
PFCAs,PFDoA,Russell Brook,Median(95%CrI),0.8 (0 to 95.5),42.2 (0.6 to 1514.2),135.3 (22.7 to 1064.6),17.8 (0.1 to 754.7),304.2 (1.7 to 115912.8),NA,35.3 (0.3 to 2352.7),NA,2.4 (0.1 to 45.7),1.4 (0.1 to 24.4)
PFCAs,PFHpA,Burr Pond Brook,Median(95%CrI),195.2 (8.5 to 2410.3),14.4 (0.2 to 569.7),96.9 (18.1 to 400.5),13.2 (0.1 to 641.5),0.4 (0 to 19.3),NA,0.9 (0 to 95),39.1 (0 to 12094.5),9.1 (0.4 to 166.9),5.7 (1.2 to 117.6)
PFCAs,PFHpA,Hop Brook,Median(95%CrI),17.5 (0.7 to 248.3),0.2 (0 to 21),0.5 (0.1 to 3.2),0.1 (0 to 4.3),0 (0 to 2.1),2.5 (0 to 1090.6),8.5 (0.1 to 8879),6.6 (0 to 12115.5),2.4 (0.1 to 95),13 (0.4 to 521.7)
PFCAs,PFHpA,Pequabuck River,Median(95%CrI),74.2 (3.4 to 1019),17.5 (0.3 to 604.5),10.2 (1.7 to 46.1),1.6 (0 to 94.4),0.2 (0 to 9.1),2.9 (0 to 783.1),0.6 (0 to 59.9),NA,0.4 (0 to 8.6),119.8 (9.9 to 3913.4)
PFCAs,PFHpA,Ratlum Brook,Median(95%CrI),191.6 (7.3 to 3575.8),27.1 (0.3 to 1108.8),11.6 (1.5 to 75),2.8 (0 to 228),0 (0 to 2.1),0.9 (0 to 312.2),0.3 (0 to 47.1),3.8 (0 to 1447.2),1.5 (0.1 to 37.9),302.8 (28.6 to 4383.8)
