type,site,order,.epred,.lower,.upper,.width,.point,.interval
Biofilm,Burr Pond Brook,5,10.791622158238452,8.064152484207863,13.909333351634595,0.95,median,qi
Biofilm,Hop Brook,5,1.085971517840862,0.5349898406886677,2.0024662800417685,0.95,median,qi
Biofilm,Pequabuck River,5,4.954582771138508,3.463848716335182,7.093503451583421,0.95,median,qi
Biofilm,Ratlum Brook,5,3.3678035748639212,2.1987229513512516,5.1360851566296,0.95,median,qi
Biofilm,Russell Brook,5,24.64636578673299,17.77559058045628,34.70845786252814,0.95,median,qi
Detritus,Burr Pond Brook,3,4.072627806714765,1.8020987931222656,22.844332467696287,0.95,median,qi
Detritus,Hop Brook,3,0.22983393330472113,0.006990156175127212,1.242899094503058,0.95,median,qi
Detritus,Pequabuck River,3,1.8563035345134649,0.7741476408851463,7.368960939286303,0.95,median,qi
Detritus,Ratlum Brook,3,1.4615466364300527,0.5495588909483358,4.7126898353913225,0.95,median,qi
Detritus,Russell Brook,3,8.982703240107462,3.829989611584588,43.463869048340925,0.95,median,qi
Emergent,Burr Pond Brook,7,272.48150032464815,215.6265074714524,355.9727809647038,0.95,median,qi
Emergent,Hop Brook,7,51.73529978932543,27.845812733184722,225.34962196518535,0.95,median,qi
Emergent,Pequabuck River,7,25.929505346856033,15.908833198986068,64.34098393621161,0.95,median,qi
Emergent,Ratlum Brook,7,28.936739268309445,20.489100182251065,44.75378580894401,0.95,median,qi
Emergent,Russell Brook,7,228.04012204899738,160.59949848437367,339.72180013139274,0.95,median,qi
Larval,Burr Pond Brook,6,205.81882488638166,154.06049151641872,296.8108150447382,0.95,median,qi
Larval,Hop Brook,6,57.40782385800269,38.7958702020361,12929.006098909056,0.95,median,qi
Larval,Pequabuck River,6,110.65554194340766,68.08695766788809,606.2410513645839,0.95,median,qi
Larval,Ratlum Brook,6,51.46872988165992,35.51738898074924,113.93510313243212,0.95,median,qi
Larval,Russell Brook,6,202.88726151624516,151.12386706519828,348.1566652160574,0.95,median,qi
Sediment,Burr Pond Brook,2,2.9083760749812075,1.444853102733406,10.309697533554402,0.95,median,qi
Sediment,Hop Brook,2,0.975309236715624,0.15983489421940034,4.805411112451243,0.95,median,qi
Sediment,Pequabuck River,2,1.7680114115650087,0.6924109636456428,5.92676092612576,0.95,median,qi
Sediment,Ratlum Brook,2,1.1206807193296746,0.3624827799268001,3.974429138566426,0.95,median,qi
Sediment,Russell Brook,2,0.5229576357798119,0.14531554970337213,2.163708709869248,0.95,median,qi
Seston,Burr Pond Brook,4,5.1187937870007145,1.741227307966043,18.427652013580914,0.95,median,qi
Seston,Hop Brook,4,0.4105852976552526,0.00938235551664353,3.307156195446185,0.95,median,qi
Seston,Pequabuck River,4,6.679389414791153,2.742566740163286,22.238258836662144,0.95,median,qi
Seston,Ratlum Brook,4,2.8567771801647703,1.06257833622,9.64741413552628,0.95,median,qi
Seston,Russell Brook,4,21.451437302626083,8.430024791121495,82.44387441053475,0.95,median,qi
Tetragnathidae,Burr Pond Brook,8,53.527208929076636,39.825306761400086,72.07709458862654,0.95,median,qi
Tetragnathidae,Hop Brook,8,5.213583937813166,3.4217572604963977,8.319320957691053,0.95,median,qi
Tetragnathidae,Pequabuck River,8,20.047492532353587,14.256993264641103,28.218548307859326,0.95,median,qi
Tetragnathidae,Ratlum Brook,8,25.74380926782186,17.197925676704553,39.77091344969995,0.95,median,qi
Tetragnathidae,Russell Brook,8,48.82200719698076,31.44189101489723,78.39321172050525,0.95,median,qi
Water,Burr Pond Brook,1,0.026819573727823308,0.021101032575341825,0.03402931976598266,0.95,median,qi
Water,Hop Brook,1,0.014179548528570798,0.008926573201017366,0.021254207778813244,0.95,median,qi
Water,Pequabuck River,1,0.03014673534831648,0.024161376579601622,0.03739139686502905,0.95,median,qi
Water,Ratlum Brook,1,0.010946638506917208,0.007960961543084436,0.014950616454435284,0.95,median,qi
Water,Russell Brook,1,0.09535494540429218,0.07656890465151782,0.11902469105387423,0.95,median,qi
