Table,Attribute name,Data Type,Description,Acceptable values or range,Value Definition,Units
Farmington_InsectMasses.csv,Year,numeric,Year of sample collection in the field,2022,,year
,,,,2023,,year
Farmington_InsectMasses.csv,Site,character,Name of sampling site,Hop Brook,,
,,,,Russel Brook,,
,,,,Pequabuck Brook,,
,,,,Ratlum Brook,,
,,,,Burr Pond Brook,,
Farmington_InsectMasses.csv,Order,character,Taxonomic order,"Diptera, Ephemeroptera, Megaloptera, Odonata, Plecoptera, Trichoptera",,
,,,,Diptera,,
,,,,Ephemeroptera,,
,,,,Megaloptera,,
,,,,Odonata,,
,,,,Plecoptera,,
,,,,Trichoptera,,
Farmington_InsectMasses.csv,n per composite,numeric,Number of individuals in composite sample,NA or positive number,,
Farmington_InsectMasses.csv,Composite Sample Mass (ww),numeric,Wet mass of composite sample,NA or positive number,,
Farmington_InsectMasses.csv,Individual mass (ww),numeric,Mean individual wet mass (composite sample mass/n per composite),NA or positive number,,
Farmington_InsectMasses.csv,Life stage,character,Adult or larval life stage,Adult,,
,,,,Larval,,
Farmington_PFAS_FWstudy_Datarelease.csv,COC,numeric,Chain of custody number associated with analytical instrument run,Six number code,Six number code,
Farmington_PFAS_FWstudy_Datarelease.csv,CESE.ID,character,Sample identification assigned by analytical lab,Nine number code,Nine number code,
Farmington_PFAS_FWstudy_Datarelease.csv,Field.ID,character,Sample identification assigned in field by research staff,"RB_BF1_6-02, RB_BF2_6-02, RB_BF3_6-02, HB_BF1_6-03, HB_BF2_6-03, HB_BF3_6-03, RB_BF1_end, RB_BF2_end, RB_BF3_end, HB_BF1_end, HB_BF2_end, HB_BF3_end, RB_Det_6-02, HB_Det_6-03, RB_Det_end, HB_Det_end, RB_Ses_6-02, HB_Ses_6-03, RB_Ses_end, HB_B_Odon1, HB_B_Odon2, HB_B_Odon3, HB_B_Odon4, HB_B_Odon5, HB_E_odon1, HB_E_odon2, HB_E_odon3, HB_E_odon4, HB_E_odon5, HB_B_eph1, HB_B_eph2, HB_B_eph3, HB_E_eph1, HB_E_eph2, HB_B_trich1, HB_B_trich2, HB_B_trich3, HB_E_trich1, HB_E_trich2, HB_E_trich3, HB_B_pleco1, HB_B_pleco2, HB_B_pleco3, HB_B_mega1, HB_B_mega2, HB_B_mega3, HB_B_dip1, HB_B_dip2, HB_B_dip3, HB_E_Dip1, HB_E_Dip2, HB_E_Dip3, RB_E_Dip1, RB_E_Dip2, RB_E_Dip3, RB_B_Odon1, RB_B_Odon2, RB_B_Odon3, RB_B_Dip1, RB_B_Dip2, RB_B_Dip3, RB_B_Dip4, RB_E_trich1, RB_E_trich2, RB_E_trich3, RB_B_trich1, RB_B_trich2, RB_B_trich3, RB_Tetragn1, RB_Tetragn2, RB_Tetragn3, RB_Tetragn4, HB_Tetragn1, HB_Tetragn2, HB_Tetragn3, HB_Tetragn4, HB_Tetragn5, HB_Tetragn6, Rat_BF1_A23, Rat_BF2_A23, Rat_BF3_A23, Peq_BF1_A23, Peq_BF2_A23, Peq_BF3_A23, Bur_BF1_A23, Bur_BF2_A23, Bur_BF3_A23, Rat_BF1_J23, Rat_BF2_J23, Rat_BF3_J23, Peq_BF1_J23, Peq_BF2_J23, Peq_BF3_J23, Bur_BF1_J23, Bur_BF2_J23, Bur_BF3_J23, Rat_sed1_A23, Rat_sed2_A23, Rat_sed3_A23, Peq_sed1_A23, Peq_sed2_A23, Peq_sed3_A23, Bur_sed1_A23, Bur_sed2_A23, Bur_sed3_A23, Rat_sed1_J23, Rat_sed2_J23, Rat_sed3_J23, Peq_sed1_J23, Peq_sed2_J23, Peq_sed3_J23, Bur_sed1_J23, Bur_sed2_J23, Bur_sed3_J23, Rat_det_A23, Peq_det_A23, Bur_det_A23, Rat_det_J23, Peq_det_J23, Bur_det_J23, Rat_ses1, Peq_ses1, Bur_ses1, Rat_ses2, Peq_ses2, Bur_ses2, Rat_L_Trich1, Rat_L_Trich2, Rat_L_Trich3, Rat_E_Pleco1, Rat_E_Pleco2, Rat_E_Pleco3, Peq_E_Trich1, Peq_E_Trich2, Peq_E_Trich3, Peq_E_Trich4, Peq_E_Trich5, Peq_E_Trich6, Peq_L_Dip1, Peq_E_Dip1, Peq_E_Dip2, Peq_E_Dip3, Peq_L_Eph1, Peq_L_Eph2, Peq_E_Eph1, Peq_L_Odo1, Peq_L_Trich1, Peq_L_Trich2, Peq_L_Trich3, Peq_L_Trich4, Peq_L_Trich5, Peq_L_Trich6, Peq_L_Trich7, Rat_L_Dip1, Rat_L_Dip2, Rat_E_Dip1, Rat_E_Dip2, Rat_E_Dip3, Rat_L_Eph1, Rat_L_Eph2, Rat_E_Eph1, Rat_E_Eph2, Rat_L_Odo1, Rat_L_Odo2, Rat_L_Odo3, Rat_L_Pleco1, Rat_L_Pleco2, Rat_E_Pleco4, Rat_E_Pleco5, Rat_E_Trich1, Rat_E_Trich2, Rat_E_Trich3, Rat_E_Trich4, Rat_E_Trich5, Rat_E_Trich6, Rat_E_Trich7, Burr_L_Dip1, Burr_L_Dip2, Burr_L_Odo1, Burr_L_Odo2, Burr_L_Odo3, Burr_L_Pleco1, Burr_L_Pleco2, Burr_E_Pleco1, Burr_E_Pleco2, Burr_E_Pleco3, Burr_L_Trich1, Burr_L_Trich2, Burr_L_Trich3, Burr_L_Trich4, Burr_L_Trich5, Burr_L_Trich6, Burr_L_Trich7, Burr_L_Trich8, Burr_L_Trich9, Burr_E_Trich1, Burr_E_Trich2, Burr_E_Dip1, Burr_E_Dip2, Burr_E_Dip3, Rat_L_Trich4, Rat_L_Trich5, Rat_L_Trich6, Rat_S_1, Rat_S_2, Rat_L_1, Rat_L_2, Peq_S_1, Peq_L_1, Peq_L_2, Peq_L_3, Peq_L_4, Burr_S_1, Burr_S_2, Burr_L_1, Burr_L_2, RB_sed1_6-02, RB_sed2_6-02, RB_sed3_6-02, HB_sed1_6-03, HB_sed2_6-03, HB_sed3_6-03, RB_sed1_end, RB_sed2_end, RB_sed3_end, HB_sed1_end, HB_sed2_end, HB_sed3_end, RB_w1_end, RB_w2_end, RB_w3_end, HB_w1_end, HB_w2_end, HB_w3_end, Blank_end, RB_w1_6-02, RB_w2_6-02, RB_w3_6-02, HB_w1_6-02, HB_w2_6-02, HB_w3_6-02, blank_6-03, Rat_W1_421, Rat_W2_421, Rat_W3_421, Peq_W1_424, Peq_W2_424, Peq_W3_424, Bur_W1_427, Bur_W2_427, Bur_W3_427, Rat Fblank, Peq Fblank, Bur Fblank, Rat_W1_July, Rat_W2_July, Rat_W3_July, Peq_W1_July, Peq_W2_July, Peq_W3_July, Bur_W1_July, Bur_W2_July, Bur_W3_July, Rat_Blank, Peq_Blank, Bur_Blank",,
Farmington_PFAS_FWstudy_Datarelease.csv,Site,character,Name of sampling site,Hop Brook,,
,,,,Russel Brook,,
,,,,Pequabuck Brook,,
,,,,Ratlum Brook,,
,,,,Burr Pond Brook,,
Farmington_PFAS_FWstudy_Datarelease.csv,Sample.Type,character,Type of sample,Biofilm,,
,,,,Detritus,,
,,,,Seston,,
,,,,Larval_Odonata,,
,,,,Emergent_Odonata,,
,,,,Larval_Ephemeroptera,,
,,,,Emergent_Ephemeroptera,,
,,,,Larval_Trichoptera,,
,,,,Emergent_Trichoptera,,
,,,,Larval_Plecoptera,,
,,,,Larval_Megaloptera,,
,,,,Larval_Diptera,,
,,,,Emergent_Diptera,,
,,,,Tetragnathidae,,
,,,,Sediment,,
,,,,Emergent_Plecoptera,,
,,,,Water,,
,,,,Fieldblank,,
Farmington_PFAS_FWstudy_Datarelease.csv,Collected,character,Date of sample collection in the field,6/2/2022 to 7/26/2023,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_FWstudy_Datarelease.csv,Received,character,Date sample received by the analytical lab,8/9/2022 to 7/26/2023,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_FWstudy_Datarelease.csv,Prep.Date,character,Date sample prepared for analysis,10/13/2022 to 7/28/2023,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_FWstudy_Datarelease.csv,Analysis.Date,character,Date sample analyzed,10/14/22 to 7/31/23,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_FWstudy_Datarelease.csv,Units,character,Concentration units,"ng/g ww, ng/mL",nanograms per gram wet weight for solid or tissue samples. Nanograms per milliliter for liquids.,"ng/g ww, ng/mL"
Farmington_PFAS_FWstudy_Datarelease.csv,Compound,character,Name of PFAS compound,PFBA,PFAS congener,
,,,,PFPeA,PFAS congener,
,,,,PFBS,PFAS congener,
,,,,PFHxA,PFAS congener,
,,,,X4.2FTS,PFAS congener,
,,,,PFPeS,PFAS congener,
,,,,GenX,PFAS congener,
,,,,ADONA,PFAS congener,
,,,,PFHpA,PFAS congener,
,,,,PFHxS,PFAS congener,
,,,,PFOA,PFAS congener,
,,,,PFHpS,PFAS congener,
,,,,X6.2FTS,PFAS congener,
,,,,X9Cl.PF3ONS,PFAS congener,
,,,,PFNA,PFAS congener,
,,,,PFOS,PFAS congener,
,,,,PFNS,PFAS congener,
,,,,X8.2FTS,PFAS congener,
,,,,PFDA,PFAS congener,
,,,,NMeFOSAA,PFAS congener,
,,,,PFOSA,PFAS congener,
,,,,PFDS,PFAS congener,
,,,,NEtFOSAA,PFAS congener,
,,,,X11CL.PF3OUdS,PFAS congener,
,,,,PFUnA,PFAS congener,
,,,,PFDoA,PFAS congener,
,,,,PFTrDA,PFAS congener,
,,,,PFTA,PFAS congener,
Farmington_PFAS_FWstudy_Datarelease.csv,Conc,character,Concentration measured,"ND, NM, na, numeric","ND = not detected, NM = not measured, na = not available due to sample damage",ppb
Farmington_PFAS_FWstudy_Datarelease.csv,RL,numeric,Analytical reporting limit,positive numbers,ppb,
Farmington_PFAS_FWstudy_Datarelease.csv,BRL,character,Below reporting limit,no,"Whether the concentration is below the reporting limit. Yes indicates the concentration is above the method detection limit, but below the reporting limit",
,,,,yes,,
