dataset,Column name,data_type,Description,value,Notes.x,Notes.y
Farmington_InsectMasses.csv,year,numeric,Year of sample collection in the field,"2022, 2023",NA,NA
Farmington_InsectMasses.csv,site,character,Name of sampling site,"Hop Brook, Russell Brook, Pequabuck Brook, Ratlum Brook, Burr Pond Brook",NA,NA
Farmington_InsectMasses.csv,order,character,Taxonomic order,"Diptera, Ephemeroptera, Megaloptera, Odonata, Plecoptera, Trichoptera",NA,NA
Farmington_InsectMasses.csv,n_per_composite,numeric,Number of individuals in composite sample,"NA, 38, 81, 5, 590, 571, 786, 839, 1097, 710, 529, 740, 745, 1, 4, 7, 63, 2, 3, 13, 34, 73, 22, 15, 29, 48, 11, 49, 68, 12, 62, 240, 231, 206, 9, 25, 18, 14, 46, 43, 54, 74, 44, 27, 117, 124, 155, 110, 16, 23, 36, 28, 33, 6",NA,NA
Farmington_InsectMasses.csv,composite_sample_mass_ww,numeric,Wet mass of composite sample,"0.20436, 0.00608, 0.01009, 0.00975, 0.01106, 0.55777, 0.60627, 0.51263, 0.59509, 0.58465, 0.44535, 0.52378, 0.54431, 0.53716, 0.23205, 0.04701, 0.20028, 0.16558, 0.60454, 0.5163, 0.50024, 0.18613, 0.45193, 0.01812, 0.00213, 0.02377, 0.01563, 0.00925, 0.3024, 0.34807, 0.31409, 0.01836, 0.01917, 0.01557, 0.02047, 0.07866, 0.02083, 0.21979, 0.27654, 0.00372, 0.0495, 0.116, 0.105, 0.06, 0.030803, 0.0826, 0.25981, 0.04673, 0.01494, 0.02336, 0.0686, 0.49793, 0.39648, 0.62832, 0.46364, 0.15982, 0.10105, 0.09037, 0.03605, 0.01017, 0.01083, 0.64298, 0.55749, 0.53611, 0.67511, 0.1936, 0.3591, 0.4768, 0.47662, 0.0257, 0.01337, 0.01302, 0.00946, 0.19044, 0.08732, 0.14844, 0.12958, 0.01996, 0.01192, 0.010332, 0.02094, 0.03588, 0.54137, 0.51251, 0.56695, 0.62455, 0.65133, 0.64664, 0.52094, 0.33896, 0.22651, 0.54242, 0.52072, 0.54967, 0.56638, 0.54688, 0.63792, 0.01864, 0.02852, 0.53461, 0.54451, 0.56908, 0.04201, 0.02359, 0.11168, 0.65232, 0.64126, 0.67601, 0.65704, 0.60203, 0.52579, 0.53564, 0.54646, 0.581, 0.54696, 0.53059, 0.54267, 0.59756, 0.5224, 0.55402, 0.51948, 0.57881, 0.56383, 0.52044, 0.58057, 0.58504, 0.56976",NA,NA
Farmington_InsectMasses.csv,individual_mass_ww,numeric,Mean individual wet mass (composite sample mass/n per composite),"NA, 3e-04, 1e-04, 0.0022, 9e-04, 0.0011, 7e-04, 5e-04, 6e-04, 0.001, 0.2321, 0.047, 0.2003, 0.1656, 0.6045, 0.1291, 0.5002, 0.0266, 0.0072, 0.0181, 0.0079, 0.0156, 0.0046, 0.0233, 0.0102, 0.0043, 0.0184, 0.0192, 0.0078, 0.0068, 0.0036, 0.0014, 0.0076, 0.0058, 0.0037, 0.0495, 0.116, 0.105, 0.06, 0.0308, 0.0826, 0.2598, 0.0467, 0.0149, 0.0234, 0.0343, 0.0996, 0.0793, 0.2094, 0.2318, 0.0799, 0.1011, 0.0904, 0.018, 0.0051, 0.0131, 0.0082, 0.0447, 0.0519, 0.0031, 0.0015, 0.0021, 0.0023, 0.0257, 0.0067, 0.0065, 0.0024, 0.0212, 0.0035, 0.003, 0.0119, 0.0034, 0.0052, 0.0179, 0.011, 0.0111, 0.0132, 0.0127, 0.0121, 0.0087, 0.0118, 0.0089, 0.0084, 0.0074, 0.0045, 0.0044, 0.005, 0.0186, 0.0285, 0.1337, 0.1361, 0.1423, 0.042, 0.0236, 0.1117, 0.0544, 0.0458, 0.0423, 0.0286, 0.0262, 0.0146, 0.0214, 0.0219, 0.0208, 0.0166, 0.1326, 0.1357, 0.1494, 0.1306, 0.1385, 0.1299, 0.1447, 0.141, 0.1041, 0.0968, 0.0975, 0.0518",NA,NA
Farmington_InsectMasses.csv,life_stage,character,Adult or larval life stage,"Adult, Larval",NA,NA
Farmington_PFAS_FWstudy_Datarelease.csv,coc,numeric,Chain of custody number associated with analytical instrument run,"220306, 220307, 220308, 220324, 230309, 230474, 240007, 220305, 220153, 220116, 230104, 230224",NA,NA
Farmington_PFAS_FWstudy_Datarelease.csv,cese_id,character,Sample identification assigned by analytical lab,"220306-001, 220306-002, 220306-003, 220306-004, 220306-005, 220306-006, 220306-007, 220306-008, 220306-009, 220306-010, 220306-011, 220306-012, 220307-001, 220307-002, 220307-003, 220307-004, 220308-001, 220308-002, 220308-003, 220324-001, 220324-002, 220324-003, 220324-004, 220324-005, 220324-006, 220324-007, 220324-008, 220324-009, 220324-010, 220324-011, 220324-012, 220324-013, 220324-014, 220324-015, 220324-016, 220324-017, 220324-018, 220324-019, 220324-020, 220324-021, 220324-022, 220324-023, 220324-024, 220324-025, 220324-026, 220324-027, 220324-028, 220324-029, 220324-030, 220324-031, 220324-032, 220324-033, 220324-034, 220324-035, 220324-036, 220324-037, 220324-038, 220324-039, 220324-040, 220324-041, 220324-042, 220324-043, 220324-044, 220324-045, 220324-046, 220324-047, 220324-048, 220324-049, 220324-050, 220324-051, 220324-052, 220324-053, 220324-054, 220324-055, 220324-056, 220324-057, 220324-058, 220324-059, 230309-007, 230309-008, 230309-009, 230309-010, 230309-011, 230309-012, 230309-013, 230309-014, 230309-015, 230309-016, 230309-017, 230309-018, 230309-019, 230309-020, 230309-021, 230309-022, 230309-023, 230309-024, 230309-025, 230309-026, 230309-027, 230309-028, 230309-029, 230309-030, 230309-031, 230309-032, 230309-033, 230309-034, 230309-035, 230309-036, 230309-037, 230309-038, 230309-039, 230309-040, 230309-041, 230309-042, 230309-043, 230309-044, 230309-045, 230309-046, 230309-047, 230309-048, 230309-001, 230309-002, 230309-003, 230309-004, 230309-005, 230309-006, 230474-001, 230474-002, 230474-003, 230474-004, 230474-005, 230474-006, 230474-007, 230474-008, 230474-009, 230474-010, 230474-011, 230474-012, 230474-013, 230474-014, 230474-015, 230474-016, 230474-017, 230474-018, 230474-019, 230474-020, 230474-021, 230474-022, 230474-023, 230474-024, 230474-025, 230474-026, 230474-027, 230474-028, 230474-029, 230474-030, 230474-031, 230474-032, 230474-033, 230474-034, 230474-035, 230474-036, 230474-037, 230474-038, 230474-039, 230474-040, 230474-041, 230474-042, 230474-043, 230474-044, 230474-045, 230474-046, 230474-047, 230474-048, 230474-049, 230474-050, 230474-051, 230474-052, 230474-053, 230474-054, 230474-055, 230474-056, 230474-057, 230474-058, 230474-059, 230474-060, 230474-061, 230474-062, 230474-063, 230474-064, 230474-065, 230474-066, 230474-067, 230474-068, 230474-069, 230474-070, 230474-071, 230474-072, 230474-073, 230474-074, 230474-075, 230474-076, 230474-077, 240007-001, 240007-002, 240007-003, 240007-004, 240007-005, 240007-006, 240007-007, 240007-008, 240007-009, 240007-010, 240007-011, 240007-012, 240007-013, 220305-001, 220305-002, 220305-003, 220305-004, 220305-005, 220305-006, 220305-007, 220305-008, 220305-009, 220305-010, 220305-011, 220305-012, 220153-001, 220153-002, 220153-003, 220153-004, 220153-005, 220153-006, 220153-007, 220116-001, 220116-002, 220116-003, 220116-004, 220116-005, 220116-006, 220116-007, 230104-001, 230104-002, 230104-003, 230104-004, 230104-005, 230104-006, 230104-007, 230104-008, 230104-009, 230104-010, 230104-011, 230104-012, 23224-001, 23224-002, 23224-003, 23224-004, 23224-005, 23224-006, 23224-007, 23224-008, 23224-009, 23224-010, 23224-011, 23224-012",NA,NA
Farmington_PFAS_FWstudy_Datarelease.csv,field_id,character,Sample identification assigned in field by research staff,"RB_BF1_6-02, RB_BF2_6-02, RB_BF3_6-02, HB_BF1_6-03, HB_BF2_6-03, HB_BF3_6-03, RB_BF1_end, RB_BF2_end, RB_BF3_end, HB_BF1_end, HB_BF2_end, HB_BF3_end, RB_Det_6-02, HB_Det_6-03, RB_Det_end, HB_Det_end, RB_Ses_6-02, HB_Ses_6-03, RB_Ses_end, HB_B_Odon1, HB_B_Odon2, HB_B_Odon3, HB_B_Odon4, HB_B_Odon5, HB_E_odon1, HB_E_odon2, HB_E_odon3, HB_E_odon4, HB_E_odon5, HB_B_eph1, HB_B_eph2, HB_B_eph3, HB_E_eph1, HB_E_eph2, HB_B_trich1, HB_B_trich2, HB_B_trich3, HB_E_trich1, HB_E_trich2, HB_E_trich3, HB_B_pleco1, HB_B_pleco2, HB_B_pleco3, HB_B_mega1, HB_B_mega2, HB_B_mega3, HB_B_dip1, HB_B_dip2, HB_B_dip3, HB_E_Dip1, HB_E_Dip2, HB_E_Dip3, RB_E_Dip1, RB_E_Dip2, RB_E_Dip3, RB_B_Odon1, RB_B_Odon2, RB_B_Odon3, RB_B_Dip1, RB_B_Dip2, RB_B_Dip3, RB_B_Dip4, RB_E_trich1, RB_E_trich2, RB_E_trich3, RB_B_trich1, RB_B_trich2, RB_B_trich3, RB_Tetragn1, RB_Tetragn2, RB_Tetragn3, RB_Tetragn4, HB_Tetragn1, HB_Tetragn2, HB_Tetragn3, HB_Tetragn4, HB_Tetragn5, HB_Tetragn6, Rat_BF1_A23, Rat_BF2_A23, Rat_BF3_A23, Peq_BF1_A23, Peq_BF2_A23, Peq_BF3_A23, Bur_BF1_A23, Bur_BF2_A23, Bur_BF3_A23, Rat_BF1_J23, Rat_BF2_J23, Rat_BF3_J23, Peq_BF1_J23, Peq_BF2_J23, Peq_BF3_J23, Bur_BF1_J23, Bur_BF2_J23, Bur_BF3_J23, Rat_sed1_A23, Rat_sed2_A23, Rat_sed3_A23, Peq_sed1_A23, Peq_sed2_A23, Peq_sed3_A23, Bur_sed1_A23, Bur_sed2_A23, Bur_sed3_A23, Rat_sed1_J23, Rat_sed2_J23, Rat_sed3_J23, Peq_sed1_J23, Peq_sed2_J23, Peq_sed3_J23, Bur_sed1_J23, Bur_sed2_J23, Bur_sed3_J23, Rat_det_A23, Peq_det_A23, Bur_det_A23, Rat_det_J23, Peq_det_J23, Bur_det_J23, Rat_ses1, Peq_ses1, Bur_ses1, Rat_ses2, Peq_ses2, Bur_ses2, Rat_L_Trich1, Rat_L_Trich2, Rat_L_Trich3, Rat_E_Pleco1, Rat_E_Pleco2, Rat_E_Pleco3, Peq_E_Trich1, Peq_E_Trich2, Peq_E_Trich3, Peq_E_Trich4, Peq_E_Trich5, Peq_E_Trich6, Peq_L_Dip1, Peq_E_Dip1, Peq_E_Dip2, Peq_E_Dip3, Peq_L_Eph1, Peq_L_Eph2, Peq_E_Eph1, Peq_L_Odo1, Peq_L_Trich1, Peq_L_Trich2, Peq_L_Trich3, Peq_L_Trich4, Peq_L_Trich5, Peq_L_Trich6, Peq_L_Trich7, Rat_L_Dip1, Rat_L_Dip2, Rat_E_Dip1, Rat_E_Dip2, Rat_E_Dip3, Rat_L_Eph1, Rat_L_Eph2, Rat_E_Eph1, Rat_E_Eph2, Rat_L_Odo1, Rat_L_Odo2, Rat_L_Odo3, Rat_L_Pleco1, Rat_L_Pleco2, Rat_E_Pleco4, Rat_E_Pleco5, Rat_E_Trich1, Rat_E_Trich2, Rat_E_Trich3, Rat_E_Trich4, Rat_E_Trich5, Rat_E_Trich6, Rat_E_Trich7, Burr_L_Dip1, Burr_L_Dip2, Burr_L_Odo1, Burr_L_Odo2, Burr_L_Odo3, Burr_L_Pleco1, Burr_L_Pleco2, Burr_E_Pleco1, Burr_E_Pleco2, Burr_E_Pleco3, Burr_L_Trich1, Burr_L_Trich2, Burr_L_Trich3, Burr_L_Trich4, Burr_L_Trich5, Burr_L_Trich6, Burr_L_Trich7, Burr_L_Trich8, Burr_L_Trich9, Burr_E_Trich1, Burr_E_Trich2, Burr_E_Dip1, Burr_E_Dip2, Burr_E_Dip3, Rat_L_Trich4, Rat_L_Trich5, Rat_L_Trich6, Rat_S_1, Rat_S_2, Rat_L_1, Rat_L_2, Peq_S_1, Peq_L_1, Peq_L_2, Peq_L_3, Peq_L_4, Burr_S_1, Burr_S_2, Burr_L_1, Burr_L_2, RB_sed1_6-02, RB_sed2_6-02, RB_sed3_6-02, HB_sed1_6-03, HB_sed2_6-03, HB_sed3_6-03, RB_sed1_end, RB_sed2_end, RB_sed3_end, HB_sed1_end, HB_sed2_end, HB_sed3_end, RB_w1_end, RB_w2_end, RB_w3_end, HB_w1_end, HB_w2_end, HB_w3_end, Blank_end, RB_w1_6-02, RB_w2_6-02, RB_w3_6-02, HB_w1_6-02, HB_w2_6-02, HB_w3_6-02, blank_6-03, Rat_W1_421, Rat_W2_421, Rat_W3_421, Peq_W1_424, Peq_W2_424, Peq_W3_424, Bur_W1_427, Bur_W2_427, Bur_W3_427, Rat Fblank, Peq Fblank, Bur Fblank, Rat_W1_July, Rat_W2_July, Rat_W3_July, Peq_W1_July, Peq_W2_July, Peq_W3_July, Bur_W1_July, Bur_W2_July, Bur_W3_July, Rat_Blank, Peq_Blank, Bur_Blank",NA,NA
