path,6:2FTS,8:2FTS,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFBS,PFHxS,PFOS,units
water --> sediment,-0.25 (-2.8 to 1.8),1.1 (-1.2 to 3.3),1.8 (1.2 to 2.3),2 (1.2 to 2.6),1.6 (1.2 to 2.1),0.98 (-1.1 to 2.8),0.84 (-1.3 to 2.7),1.9 (-0.18 to 3.9),0.94 (-1.3 to 2.9),-0.53 (-3.6 to 1.8),-0.21 (-2.4 to 2),1.9 (1.7 to 2.1),Partitioning (posterior median and 95% CrI)
water --> seston,0.79 (-0.9 to 2.3),1.9 (-0.0071 to 3.7),2.4 (1.7 to 3),1.1 (-0.74 to 3.1),2.7 (2.2 to 3.2),2.5 (1.9 to 3.3),1.8 (0.26 to 3.5),2.5 (1.6 to 3.5),1.9 (-0.037 to 3.6),-0.083 (-2.6 to 1.7),0.81 (-1.1 to 2.6),2.5 (2.3 to 2.8),Partitioning (posterior median and 95% CrI)
water --> biofilm,1.2 (0.57 to 1.8),2.4 (1.6 to 3.3),2.3 (2 to 2.6),1.6 (1.1 to 2),2.6 (2.4 to 2.8),2.7 (2.4 to 3),2.3 (1.7 to 2.8),3.6 (3.1 to 4.1),2.3 (1.5 to 2.9),0.39 (-1.1 to 1.4),1.2 (0.75 to 1.7),2.7 (2.6 to 2.9),Partitioning (posterior median and 95% CrI)
water --> detritus,0.27 (-1.6 to 1.9),1.5 (-0.47 to 3),1.7 (0.78 to 2.5),0.71 (-1.3 to 2.3),1.8 (0.24 to 3.1),2.2 (1.3 to 3),1.3 (-0.42 to 3),2.7 (0.74 to 4.2),1.3 (-0.61 to 2.7),-0.55 (-3.4 to 1.3),0.37 (-1.7 to 2),2.4 (2.2 to 2.6),Partitioning (posterior median and 95% CrI)
sediment --> larvae,2.3 (0.2 to 4.9),1.9 (-0.39 to 4.3),0.88 (0.25 to 1.9),0.22 (-0.57 to 1.5),1.3 (0.93 to 1.9),2.2 (0.41 to 4.4),2.2 (0.42 to 4.5),2.1 (0.14 to 4.3),2.1 (0.3 to 4.6),1.7 (-0.71 to 4.7),2 (-0.062 to 4.5),1.2 (1 to 1.4),Partitioning (posterior median and 95% CrI)
biofilm --> larvae,0.76 (0.23 to 1.6),0.52 (-0.11 to 1.4),0.33 (-0.11 to 1.3),0.64 (0.055 to 1.6),0.39 (0.19 to 0.63),0.48 (0.24 to 0.87),0.8 (0.26 to 1.4),0.38 (0.16 to 0.78),0.74 (0.2 to 1.6),0.71 (-0.14 to 1.9),0.52 (0.02 to 1.5),0.41 (0.29 to 0.54),Partitioning (posterior median and 95% CrI)
detritus --> larvae,1.7 (0.096 to 4),1.5 (-0.07 to 3.5),0.97 (0.071 to 2.3),1.5 (-0.21 to 3.8),1.2 (-0.066 to 2.8),1 (0.22 to 2),1.8 (0.16 to 3.6),1.2 (0.045 to 3.4),1.7 (0.4 to 4.1),1.7 (-0.18 to 4.2),1.4 (-0.32 to 4.2),0.76 (0.52 to 0.96),Partitioning (posterior median and 95% CrI)
seston --> larvae,1.2 (-0.42 to 3),1 (-0.51 to 2.7),0.29 (-0.42 to 1.3),1.1 (-0.88 to 3.7),0.3 (-0.22 to 0.82),0.64 (-0.037 to 1.5),1.3 (-0.21 to 3),1.4 (0.58 to 2.5),1.1 (-0.5 to 3.3),1.3 (-0.52 to 3.8),0.96 (-0.91 to 3.1),0.64 (0.39 to 0.85),Partitioning (posterior median and 95% CrI)
larvae --> emergent,0.037 (-0.86 to 0.88),0.25 (-0.73 to 1.1),0.42 (-0.47 to 0.94),0.02 (-0.91 to 0.97),0.096 (-0.2 to 0.36),0.33 (0.0069 to 0.6),0.26 (-0.33 to 0.77),0.3 (-0.11 to 0.61),0.13 (-0.62 to 0.78),0.34 (-1.1 to 1.6),0.32 (-0.67 to 0.86),0.22 (0.11 to 0.35),Partitioning (posterior median and 95% CrI)
emergent --> spider,-0.37 (-1.5 to 0.48),-0.31 (-1.3 to 0.65),-0.089 (-0.52 to 0.33),0.96 (0.37 to 1.5),-0.097 (-0.38 to 0.19),-0.56 (-0.85 to -0.26),-0.067 (-0.55 to 0.41),-0.45 (-0.8 to -0.15),0.22 (-0.36 to 0.75),-0.3 (-1.9 to 1.1),-0.41 (-0.9 to 0.03),-0.26 (-0.4 to -0.12),Partitioning (posterior median and 95% CrI)
