pfas_type,Diptera,Ephemeroptera,Odonata,Plecoptera,Trichoptera
PFHxA,0.025 (6.1e-05 to 8.5),23 (0.066 to 110000),1.2 (4.4e-05 to 1900),4.3 (0.19 to 10000),3.1 (0.64 to 27)
PFHpA,0.014 (1.5e-05 to 10),10 (0.0018 to 1100000),0.64 (7.7e-06 to 1900),6.4 (0.25 to 18000),0.6 (0.011 to 13)
PFOA,0.19 (0.013 to 5.1),0.55 (0.12 to 3.7),0.36 (2.8e-05 to 140),0.46 (0.17 to 1.3),0.49 (0.17 to 2.2)
PFNA,0.081 (0.0069 to 1.1),5.8 (0.0061 to 50000),0.3 (7.3e-05 to 93),1.3 (0.33 to 16),1.3 (0.32 to 8.4)
PFDA,0.035 (7.7e-05 to 6.2),3.3 (0.00057 to 40000),0.19 (5e-05 to 150),0.77 (0.18 to 13),4.1 (0.33 to 130)
PFUnA,0.065 (0.0065 to 1.4),7.2 (0.0028 to 110000),0.38 (1.1e-05 to 180),1.5 (0.45 to 24),0.39 (0.12 to 1.8)
PFDoA,0.03 (3.7e-05 to 12),4.4 (0.00089 to 150000),0.6 (8e-06 to 1300),0.55 (0.11 to 7.6),2 (0.052 to 64)
PFBS,0.03 (2.1e-05 to 110),7.5 (0.00019 to 1500000),0.71 (2.6e-06 to 6300),4.7 (0.018 to 220000),1.9 (0.013 to 82)
PFHxS,0.05 (0.00045 to 7.6),6.9 (0.0014 to 290000),0.23 (3.7e-06 to 280),0.88 (0.14 to 110),5.9 (0.79 to 54)
PFOS,0.02 (0.0085 to 0.08),1.1 (0.44 to 3.1),0.6 (0.15 to 2.9),0.8 (0.35 to 1.9),0.34 (0.19 to 0.74)
6:2FTS,0.084 (0.00026 to 19),5.9 (0.0024 to 1300000),0.23 (1.8e-06 to 330),2.4 (0.031 to 30000),0.99 (0.015 to 14)
8:2FTS,0.03 (4.6e-05 to 15),7.6 (0.001 to 430000),0.5 (8.8e-06 to 540),3.5 (0.069 to 12000),1.5 (0.017 to 25)
